cusip,quantity,account
912828V49,3,taxable
9128282L3,3,taxable
9128283R9,3,roth
912828Y38,3,pretax
9128285W6,2,pretax
9128287D6,2,taxable
912828Z37,3,roth
912828ZZ6,3,roth
91282CBF7,3,pretax
91282CCM1,3,taxable
91282CDX6,3,pretax
91282CEZ0,3,roth
91282CGK1,4,roth
91282CHP9,4,pretax
91282CJY8,3,taxable
91282CLE9,3,pretax
91282CML2,4,pretax
91282CNS6,4,pretax
91282CPU9,8,roth
912810QF8,2,pretax
91282CPU9,5,taxable
912810QF8,2,pretax
91282CPU9,4,pretax
912810QF8,4,pretax
91282CPU9,2,taxable
912810QF8,6,taxable
912810QP6,5,pretax
912810QV3,6,pretax
912810RA8,6,roth
912810RF7,6,taxable
912810RL4,7,pretax
912810RR1,6,pretax
912810RW0,7,pretax
912810SB5,7,taxable
912810SG4,7,pretax
912810SM1,7,taxable
912810SV1,7,pretax
912810TE8,8,taxable
912810TP3,8,pretax
912810TY4,9,pretax
912810UH9,10,pretax
912810US5,10,pretax
